NGCNGC/IC;MES-cat;RightAsc.(2000);0;Decl.(2000);0
NGC558;0;1;27;-1;58
NGC559;0;1;29;63;18
NGC560;0;1;27;-1;54
NGC561;0;1;28;34;18
NGC562;0;1;28;48;23
NGC563;0;1;25;-18;9
NGC564;0;1;27;-1;52
NGC565;0;1;28;-1;18
NGC566;0;1;29;32;19
NGC567;0;1;27;-10;15
NGC568;0;1;27;-35;43
NGC569;0;1;29;11;7
NGC570;0;1;28;0;56
NGC571;0;1;29;32;30
NGC572;0;1;28;-39;18
NGC573;0;1;30;41;15
NGC574;0;1;29;-35;35
NGC575;0;1;30;21;26
NGC576;0;1;28;-51;35
NGC577;0;1;30;-1;59
NGC578;0;1;30;-22;40
NGC579;0;1;31;33;36
NGC580;0;1;30;-1;59
NGC581;MES103;1;33;60;39
NGC582;0;1;31;33;28
NGC583;0;1;29;-18;20
NGC584;0;1;31;-6;52
NGC585;0;1;31;0;56
NGC586;0;1;31;-6;53
NGC587;0;1;32;35;21
NGC588;0;1;32;30;38
NGC589;0;1;32;-12;2
NGC590;0;1;33;44;55
NGC591;0;1;33;35;40
NGC592;0;1;33;30;38
NGC593;0;1;32;-12;21
NGC594;0;1;32;-16;32
NGC595;0;1;33;30;41
NGC596;0;1;32;-7;1
NGC597;0;1;32;-33;29
NGC598;MES33;1;33;30;39
NGC599;0;1;32;-12;11
NGC600;0;1;33;-7;18
NGC601;0;1;33;-12;12
NGC602;0;1;29;-73;33
NGC603;0;1;34;30;13
NGC604;0;1;34;30;47
NGC605;0;1;35;41;14
NGC606;0;1;34;21;25
NGC607;0;1;34;-7;24
NGC608;0;1;35;33;39
NGC609;0;1;36;64;32
NGC610;0;1;34;-20;8
NGC611;0;1;34;-20;7
NGC612;0;1;33;-36;29
NGC613;0;1;34;-29;25
NGC614;0;1;35;33;40
NGC615;0;1;35;-7;20
NGC616;0;1;36;33;46
NGC617;0;1;34;-9;46
NGC618;0;1;35;33;39
NGC619;0;1;34;-36;29
NGC620;0;1;36;42;19
NGC621;0;1;36;35;30
NGC622;0;1;36;0;39
NGC623;0;1;35;-36;29
NGC624;0;1;35;-10;0
NGC625;0;1;35;-41;26
NGC626;0;1;35;-39;8
NGC627;0;1;35;33;40
NGC628;MES74;1;36;15;46
NGC629;0;1;38;72;52
NGC630;0;1;35;-39;21
NGC631;0;1;36;5;50
NGC632;0;1;37;5;52
NGC633;0;1;36;-37;19
NGC634;0;1;38;35;21
NGC635;0;1;38;-22;55
NGC636;0;1;39;-7;30
NGC637;0;1;43;64;2
NGC638;0;1;39;7;14
NGC639;0;1;38;-29;55
NGC640;0;1;39;-9;24
NGC641;0;1;38;-42;31
NGC642;0;1;39;-29;54
NGC643;0;1;39;-75;0
NGC643;0;1;30;-76;3
NGC643;0;1;35;-75;33
NGC643;0;1;41;-75;16
NGC644;0;1;38;-42;35
NGC645;0;1;40;5;43
NGC646;0;1;37;-64;53
NGC646;0;1;37;-64;53
NGC647;0;1;39;-9;14
NGC648;0;1;38;-17;49
NGC649;0;1;40;-9;16
NGC650;MES76;1;42;51;34
NGC651;0;1;42;51;34
NGC652;0;1;40;7;58
NGC653;0;1;42;35;38
NGC654;0;1;43;61;52
NGC655;0;1;41;-13;4
NGC656;0;1;42;26;8
NGC657;0;1;43;55;52
NGC658;0;1;42;12;36
NGC659;0;1;44;60;40
NGC660;0;1;43;13;38
NGC661;0;1;44;28;42
NGC662;0;1;44;37;41
NGC663;0;1;46;61;14
NGC664;0;1;43;4;13
NGC665;0;1;44;10;25
NGC666;0;1;46;34;22
NGC667;0;1;44;-22;55
NGC668;0;1;46;36;27
NGC669;0;1;47;35;33
NGC670;0;1;47;27;53
NGC671;0;1;46;13;7
NGC672;0;1;47;27;25
NGC673;0;1;48;11;31
NGC674;0;1;51;22;21
NGC675;0;1;49;13;3
NGC676;0;1;48;5;54
NGC677;0;1;49;13;3
NGC678;0;1;49;21;59
NGC679;0;1;49;35;47
NGC680;0;1;49;21;58
NGC681;0;1;49;-10;25
NGC682;0;1;49;-14;58
NGC683;0;1;49;11;42
NGC684;0;1;50;27;38
NGC685;0;1;47;-52;45
NGC686;0;1;48;-23;47
NGC687;0;1;50;36;22
NGC688;0;1;50;35;17
NGC689;0;1;49;-27;28
NGC690;0;1;47;-16;43
NGC691;0;1;50;21;45
NGC692;0;1;48;-48;38
NGC693;0;1;50;6;8
NGC694;0;1;50;21;59
NGC695;0;1;51;22;34
NGC696;0;1;49;-34;54
NGC697;0;1;51;22;21
NGC698;0;1;49;-34;49
NGC699;0;1;50;-12;2
NGC700;0;1;52;36;2
NGC701;0;1;51;-9;42
NGC702;0;1;51;-4;3
NGC703;0;1;52;36;10
NGC704;0;1;52;36;7
NGC704;0;1;52;36;7
NGC705;0;1;52;36;8
NGC706;0;1;51;6;17
NGC707;0;1;51;-8;30
NGC707;0;1;51;-8;30
NGC708;0;1;52;36;9
NGC709;0;1;52;36;13
NGC710;0;1;52;36;3
NGC711;0;1;52;17;30
NGC712;0;1;53;36;49
NGC713;0;1;55;-9;5
NGC714;0;1;53;36;13
NGC715;0;1;53;-12;52
NGC716;0;1;52;12;42
NGC717;0;1;53;36;13
NGC718;0;1;53;4;11
NGC719;0;1;53;19;50
NGC720;0;1;53;-13;44
NGC721;0;1;54;39;22
NGC722;0;1;54;20;41
NGC723;0;1;53;-23;45
NGC724;0;1;53;-23;45
NGC725;0;1;52;-16;31
NGC726;0;1;55;-10;48
NGC727;0;1;53;-35;51
NGC728;0;1;55;4;13
NGC729;0;1;53;-35;51
NGC730;0;1;55;5;38
NGC731;0;1;54;-9;0
NGC732;0;1;56;36;48
NGC733;0;1;56;33;3
NGC734;0;1;54;-17;4
NGC735;0;1;56;34;10
NGC736;0;1;56;33;2
NGC737;0;1;56;33;2
NGC738;0;1;56;33;3
NGC739;0;1;56;33;16
NGC740;0;1;56;33;0
NGC741;0;1;56;5;37
NGC742;0;1;56;5;37
NGC743;0;1;58;60;9
NGC744;0;1;58;55;28
NGC745;0;1;54;-56;41
NGC745;0;1;54;-56;41
NGC745;0;1;54;-56;41
NGC746;0;1;57;44;55
NGC747;0;1;57;-9;27
NGC748;0;1;56;-4;28
NGC749;0;1;55;-29;55
NGC750;0;1;57;33;12
NGC751;0;1;57;33;12
NGC752;0;1;57;37;47
NGC753;0;1;57;35;54
NGC754;0;1;54;-56;45
NGC755;0;1;56;-9;3
NGC756;0;1;54;-16;42
NGC757;0;1;54;-9;0
NGC758;0;1;55;-3;4
NGC759;0;1;57;36;20
NGC760;0;1;57;33;21
NGC761;0;1;57;33;22
NGC762;0;1;56;-5;24
NGC763;0;1;56;-9;3
NGC764;0;1;57;-16;3
NGC765;0;1;58;24;53
NGC766;0;1;58;8;20
NGC767;0;1;58;-9;35
NGC768;0;1;58;0;31
NGC769;0;1;59;30;54
NGC770;0;1;59;18;57
NGC771;0;2;3;72;25
NGC772;0;1;59;19;0
NGC773;0;1;58;-11;30
NGC774;0;1;59;14;0
NGC775;0;1;58;-26;17
NGC776;0;1;59;23;38
NGC777;0;2;0;31;25
NGC778;0;2;0;31;18
NGC779;0;1;59;-5;57
NGC780;0;2;0;28;13
NGC781;0;2;0;12;39
NGC782;0;1;57;-57;47
NGC783;0;2;1;31;52
NGC784;0;2;1;28;50
NGC785;0;2;1;31;49
NGC786;0;2;1;15;38
